RES,Subspace,Method,RUN,ACC
2,LSTM_Ch1,RF,3,31.5789473684211
2,LSTM_Ch1,RF,4,44.4444444444444
2,LSTM_Ch1,RF,5,47.3684210526316
2,LSTM_Ch1,RF,6,31.5789473684211
2,LSTM_Ch1,RF,7,22.2222222222222
2,LSTM_Ch1,RF,8,31.5789473684211
2,LSTM_Ch1,RF,9,23.5294117647059
2,LSTM_Ch1,RF,10,33.3333333333333
2,LSTM_Ch1,RF,11,26.3157894736842
2,LSTM_Ch1,RF,12,15.7894736842105
2,LSTM_Ch1,RF,13,33.3333333333333
2,LSTM_Ch1,RF,14,38.8888888888889
2,LSTM_Ch1,RF,15,41.1764705882353
2,LSTM_Ch1,RF,16,23.5294117647059
2,LSTM_Ch1,RF,17,43.75
2,LSTM_Ch1,RF,18,36.8421052631579
2,LSTM_Ch1,RF,19,41.1764705882353
2,LSTM_Ch1,RF,20,33.3333333333333
2,LSTM_Ch1,RF,21,33.3333333333333
2,LSTM_Ch1,RF,22,22.2222222222222
2,LSTM_Ch1,RF,23,27.7777777777778
2,LSTM_Ch1,RF,24,16.6666666666667
2,LSTM_Ch1,RF,25,25
2,LSTM_Ch1,RF,26,21.0526315789474
2,LSTM_Ch1,RF,27,22.2222222222222
2,LSTM_Ch1,RF,28,22.2222222222222
2,LSTM_Ch1,RF,29,30
2,LSTM_Ch1,RF,30,27.7777777777778
2,LSTM_Ch1,RF,31,21.0526315789474
2,LSTM_Ch1,RF,32,26.3157894736842
2,LSTM_Ch1,RF,33,31.5789473684211
2,LSTM_Ch1,RF,34,37.5
2,LSTM_Ch1,RF,35,29.4117647058824
2,LSTM_Ch1,RF,36,47.3684210526316
2,LSTM_Ch1,RF,37,29.4117647058824
2,LSTM_Ch1,RF,38,42.1052631578947
2,LSTM_Ch1,RF,39,41.1764705882353
2,LSTM_Ch1,RF,40,23.5294117647059
2,LSTM_Reg,KNN,1,47.3684210526316
2,LSTM_Reg,KNN,2,52.6315789473684
2,LSTM_Reg,KNN,3,42.1052631578947
2,LSTM_Reg,KNN,4,50
2,LSTM_Reg,KNN,5,36.8421052631579
2,LSTM_Reg,KNN,6,42.1052631578947
2,LSTM_Reg,KNN,7,33.3333333333333
2,LSTM_Reg,KNN,8,63.1578947368421
2,LSTM_Reg,KNN,9,41.1764705882353
2,LSTM_Reg,KNN,10,38.8888888888889
2,LSTM_Reg,KNN,11,36.8421052631579
2,LSTM_Reg,KNN,12,52.6315789473684
2,LSTM_Reg,KNN,13,61.1111111111111
2,LSTM_Reg,KNN,14,55.5555555555556
2,LSTM_Reg,KNN,15,35.2941176470588
2,LSTM_Reg,KNN,16,41.1764705882353
2,LSTM_Reg,KNN,17,50
2,LSTM_Reg,KNN,18,57.8947368421053
2,LSTM_Reg,KNN,19,58.8235294117647
2,LSTM_Reg,KNN,20,44.4444444444444
2,LSTM_Reg,KNN,21,50
2,LSTM_Reg,KNN,22,44.4444444444444
2,LSTM_Reg,KNN,23,61.1111111111111
2,LSTM_Reg,KNN,24,27.7777777777778
2,LSTM_Reg,KNN,25,55
2,LSTM_Reg,KNN,26,42.1052631578947
2,LSTM_Reg,KNN,27,44.4444444444444
2,LSTM_Reg,KNN,28,33.3333333333333
2,LSTM_Reg,KNN,29,25
2,LSTM_Reg,KNN,30,33.3333333333333
2,LSTM_Reg,KNN,31,31.5789473684211
2,LSTM_Reg,KNN,32,36.8421052631579
2,LSTM_Reg,KNN,33,47.3684210526316
2,LSTM_Reg,KNN,34,50
2,LSTM_Reg,KNN,35,47.0588235294118
2,LSTM_Reg,KNN,36,42.1052631578947
2,LSTM_Reg,KNN,37,41.1764705882353
2,LSTM_Reg,KNN,38,42.1052631578947
2,LSTM_Reg,KNN,39,47.0588235294118
2,LSTM_Reg,KNN,40,41.1764705882353
2,LSTM_Reg,RF,1,47.3684210526316
2,LSTM_Reg,RF,2,52.6315789473684
2,LSTM_Reg,RF,3,42.1052631578947
2,LSTM_Reg,RF,4,44.4444444444444
2,LSTM_Reg,RF,5,26.3157894736842
2,LSTM_Reg,RF,6,36.8421052631579
2,LSTM_Reg,RF,7,38.8888888888889
2,LSTM_Reg,RF,8,63.1578947368421
2,LSTM_Reg,RF,9,35.2941176470588
2,LSTM_Reg,RF,10,55.5555555555556
2,LSTM_Reg,RF,11,57.8947368421053
2,LSTM_Reg,RF,12,47.3684210526316
2,LSTM_Reg,RF,13,50
2,LSTM_Reg,RF,14,66.6666666666667
2,LSTM_Reg,RF,15,29.4117647058824
2,LSTM_Reg,RF,16,35.2941176470588
2,LSTM_Reg,RF,17,37.5
2,LSTM_Reg,RF,18,57.8947368421053
2,LSTM_Reg,RF,19,41.1764705882353
2,LSTM_Reg,RF,20,33.3333333333333
2,LSTM_Reg,RF,21,44.4444444444444
2,LSTM_Reg,RF,22,44.4444444444444
2,LSTM_Reg,RF,23,33.3333333333333
2,LSTM_Reg,RF,24,27.7777777777778
2,LSTM_Reg,RF,25,55
2,LSTM_Reg,RF,26,36.8421052631579
2,LSTM_Reg,RF,27,55.5555555555556
2,LSTM_Reg,RF,28,44.4444444444444
2,LSTM_Reg,RF,29,45
2,LSTM_Reg,RF,30,27.7777777777778
2,LSTM_Reg,RF,31,36.8421052631579
2,LSTM_Reg,RF,32,42.1052631578947
2,LSTM_Reg,RF,33,42.1052631578947
2,LSTM_Reg,RF,34,50
2,LSTM_Reg,RF,35,35.2941176470588
2,LSTM_Reg,RF,36,42.1052631578947
2,LSTM_Reg,RF,37,64.7058823529412
2,LSTM_Reg,RF,38,57.8947368421053
2,LSTM_Reg,RF,39,64.7058823529412
2,LSTM_Reg,RF,40,58.8235294117647
3,AllChPCA,KNN,1,2.14424951267057
3,AllChPCA,KNN,2,1.364522417154
3,AllChPCA,KNN,3,1.55945419103314
3,AllChPCA,KNN,4,1.64609053497942
3,AllChPCA,KNN,5,1.75438596491228
3,AllChPCA,KNN,6,1.75438596491228
3,AllChPCA,KNN,7,1.64609053497942
3,AllChPCA,KNN,8,1.55945419103314
3,AllChPCA,KNN,9,0.435729847494553
3,AllChPCA,KNN,10,1.85185185185185
3,AllChPCA,KNN,11,1.364522417154
3,AllChPCA,KNN,12,1.55945419103314
3,AllChPCA,KNN,13,1.64609053497942
3,AllChPCA,KNN,14,1.85185185185185
3,AllChPCA,KNN,15,1.52505446623094
3,AllChPCA,KNN,16,1.52505446623094
3,AllChPCA,KNN,17,1.38888888888889
3,AllChPCA,KNN,18,1.16959064327485
3,AllChPCA,KNN,19,2.17864923747277
3,AllChPCA,KNN,20,1.440329218107
3,AllChPCA,KNN,21,1.64609053497942
3,AllChPCA,KNN,22,1.02880658436214
3,AllChPCA,KNN,23,0.823045267489712
3,AllChPCA,KNN,24,1.440329218107
3,AllChPCA,KNN,25,1.2962962962963
3,AllChPCA,KNN,26,1.55945419103314
3,AllChPCA,KNN,27,1.02880658436214
3,AllChPCA,KNN,28,1.23456790123457
3,AllChPCA,KNN,29,1.48148148148148
3,AllChPCA,KNN,30,1.02880658436214
3,AllChPCA,KNN,31,0.779727095516569
3,AllChPCA,KNN,32,1.55945419103314
3,AllChPCA,KNN,33,0.974658869395711
3,AllChPCA,KNN,34,1.15740740740741
3,AllChPCA,KNN,35,1.08932461873638
3,AllChPCA,KNN,36,1.364522417154
3,AllChPCA,KNN,37,1.52505446623094
3,AllChPCA,KNN,38,1.75438596491228
3,AllChPCA,KNN,39,1.74291938997821
3,AllChPCA,KNN,40,1.52505446623094
3,AllChPCA,RF,1,2.33918128654971
3,AllChPCA,RF,2,1.75438596491228
3,AllChPCA,RF,3,1.75438596491228
3,AllChPCA,RF,4,1.85185185185185
3,AllChPCA,RF,5,1.75438596491228
3,AllChPCA,RF,6,1.94931773879142
3,AllChPCA,RF,7,1.64609053497942
